Identification ,Unique ID ,Treatment ,Condition ,Days_post_infection ,Status ,Date Caught ,Date Injected,Date of Death ,Adeagus Morphology ,Protonum length (mm),Elytral length (mm) ,Weight (g) ,Observation ,Volume of Bacteria,Collector Name ,
A1059,EVB168,5.0 DB1140: 24 hours,,,0,7/28,7/29,,,3.64,11.64,0.0494,,100 nL,,
A1060,MT145,5.0 DB1140: 24 hours,DEAD BEFORE EXTRACTION ,,0,7/28,7/29,7/30,,2.67,9.48,0.0284,,100 nL,,
A1061,MT146,5.0 DB1140: 24 hours,,,0,7/28,7/29,,,1.96,8.93,0.028,,100 nL,,
A1062,MT147,5.0 DB1140: 24 hours,,,0,7/28,7/29,,,3.02,10.25,0.0286,,100 nL,,
A1063,MT148,5.0 DB1140: 24 hours,,,0,7/28,7/29,,,1.83,7.23,0.0171,,100 nL,,
A1064,EVB166,5.0 DB1140: 24 hours,,,0,7/28,7/29,,,2.7,8.7,0.0216,,100 nL,,
A1065,MT149,5.0 DB1140: 24 hours,,,0,7/28,7/29,,,2.73,9.07,0.0235,,100 nL,,
A1066,MT150,5.0 DB1140: 24 hours,,,0,7/28,7/29,,,2.9,10.41,0.038,,100 nL,,
A1067,MT151,5.0 DB1140: 24 hours,,,0,7/28,7/29,,,3.12,9.8,0.0304,,100 nL,,
A1068,MT152,5.0 DB1140: 24 hours,DEAD BEFORE EXTRACTION ,,0,7/28,7/29,7/30,,2.2,8.53,0.0361,,100 nL,,
A1069,MT153,5.0 DB1140: 24 hours,DEAD BEFORE EXTRACTION ,,0,7/28,7/29,7/30,,2.75,10.3,0.0326,,100 nL,,
A1070,AP,5.0 DB1140: 24 hours,,,0,7/28,7/29,,,2.38,8.23,0.0314,,100 nL,,
A1071,MT154,5.0 DB1140: 24 hours,,,0,7/28,7/29,,,2.48,9.13,0.0291,,100 nL,,
A1072,MT155,5.0 DB1140: 24 hours,,,0,7/28,7/29,,,2.68,8.57,0.0265,,100 nL,,
A1073,MT156,5.0 DB1140: 24 hours,DEAD BEFORE EXTRACTION ,,0,7/28,7/29,7/30,,2.62,9.22,0.0237,,100 nL,,
A1074,MT157,5.0 DB1140: 48 hours ,DEAD AT 24 HRS ,,0,7/28,7/29,7/30,,2.71,8.21,0.0228,,100 nL,,
A1075,SEL,5.0 DB1140: 48 hours ,DEAD AT 24 HRS ,,0,7/28,7/29,7/30,,2.91,10.76,0.042,,100 nL,,
A1076,EVB158,5.0 DB1140: 48 hours ,,,0,7/28,7/29,,,2.75,8.2,0.0342,,100 nL,,
