ID,Sex,Tissue,Locality
SEL282.E,M,antennae,BNPA
SEL282.E,M,back legs,BNPA
SEL283.E,M,antennae,BNPA
SEL283.E,M,back legs,BNPA
SEL284.E,M,antennae,BNPA
SEL284.E,M,back legs,BNPA
SEL299.R,F,antennae,KEPA
SEL299.R,F,back legs,KEPA
SEL300.R,F,antennae,KEPA
SEL300.R,F,back legs,KEPA
SEL304.R,M,antennae,BNPA
SEL304.R,M,back legs,BNPA
SEL305.R,M,antennae,BNPA
SEL305.R,M,back legs,BNPA
SEL628.R,M,antennae,SFNC
SEL628.R,M,back legs,SFNC
SEL726.R,M,antennae,KEPA
SEL726.R,M,back legs,KEPA
SEL727.R,M,antennae,KEPA
SEL727.R,M,back legs,KEPA
SEL732.R,F,antennae,KEPA
SEL732.R,F,back legs,KEPA
SEL736.R,F,antennae,KEPA
SEL736.R,F,back legs,KEPA
SEL737.R,F,antennae,KEPA
SEL737.R,F,back legs,KEPA
SEL739.R,M,antennae,KEPA
SEL739.R,M,back legs,KEPA
